구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023010100100062,2023년 1월,일요일,부산광역시 동래구 명륜동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,65세 이상,상해없음,보행자,남,41-50세,중상
2023010100100076,2023년 1월,일요일,부산광역시 강서구 구랑동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,41-50세,상해없음,승용,남,41-50세,중상
2023010100100086,2023년 1월,일요일,부산광역시 남구 용호동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,이륜,남,41-50세,경상
2023010100100105,2023년 1월,일요일,부산광역시 해운대구 반송동,중상사고,0,2,0,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,여,21-30세,중상
2023010100100163,2023년 1월,일요일,부산광역시 금정구 부곡동,부상신고사고,0,0,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,남,51-60세,부상신고
2023010100100201,2023년 1월,일요일,부산광역시 강서구 송정동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,승용,남,41-50세,경상
2023010100100240,2023년 1월,일요일,부산광역시 수영구 광안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,여,21-30세,경상
2023010100100241,2023년 1월,일요일,부산광역시 부산진구 당감동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,41-50세,경상
2023010100100258,2023년 1월,일요일,부산광역시 부산진구 전포동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61-64세,상해없음,승용,남,31-40세,경상
2023010100100259,2023년 1월,일요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,남,21-30세,경상
